feature,weight
wmc,0.058273185789962524
dit,0.06332489444376711
noc,0.01319226883988773
cbo,0.06342630303089357
rfc,0.011555764525021876
lcom,0.04475067673577576
ca,0.028346575436274217
ce,0.06438963464192443
npm,0.09097728825920982
lcom3,0.07035949593686154
loc,0.0230352832831643
dam,0.06229170592722699
moa,0.09610399421514237
mfa,0.02098977344474991
cam,0.046001621437983954
ic,0.021619343794007945
cbm,0.023720016728898913
amc,0.06079022876442892
max_cc,0.03875581220000757
avg_cc,0.09809613256481044
