inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
converted_EQ.csv recall,0.6888888888888889,0.5111111111111111,0.6666666666666666,0.5333333333333333,0.6,0.5777777777777777,0.5333333333333333,0.5777777777777777,0.5777777777777777,0.6444444444444445,0.5111111111111111,0.5555555555555556,0.591111111111111,0.5777777777777777,0.6222222222222222,0.6888888888888889,0.056393677957553436
converted_EQ.csv recall,0.5853658536585366,0.6585365853658537,0.5609756097560976,0.6829268292682927,0.6341463414634146,0.5365853658536586,0.5609756097560976,0.5609756097560976,0.6097560975609756,0.6585365853658537,0.5365853658536586,0.5609756097560976,0.6048780487804878,0.5975609756097561,0.6463414634146342,0.6829268292682927,0.048535972541786335
converted_EQ.csv recall,0.7111111111111111,0.6888888888888889,0.6666666666666666,0.5777777777777777,0.7111111111111111,0.6444444444444445,0.5777777777777777,0.7111111111111111,0.8,0.9111111111111111,0.5777777777777777,0.6555555555555556,0.7,0.7,0.7111111111111111,0.9111111111111111,0.09441175904999113
converted_EQ.csv recall,0.6923076923076923,0.6730769230769231,0.8653846153846154,0.7307692307692307,0.6730769230769231,0.7692307692307693,0.7115384615384616,0.75,0.6923076923076923,0.5961538461538461,0.5961538461538461,0.6826923076923077,0.7153846153846154,0.7019230769230769,0.7403846153846154,0.8653846153846154,0.06760921473556518
converted_EQ.csv recall,0.6981132075471698,0.8113207547169812,0.7924528301886793,0.7547169811320755,0.7358490566037735,0.7924528301886793,0.5849056603773585,0.8301886792452831,0.7169811320754716,0.7547169811320755,0.5849056603773585,0.7264150943396226,0.7471698113207548,0.7547169811320755,0.7924528301886793,0.8301886792452831,0.0670807125835139
converted_EQ.csv recall,0.7777777777777778,0.7555555555555555,0.7111111111111111,0.7555555555555555,0.7555555555555555,0.7333333333333333,0.6444444444444445,0.8222222222222222,0.7777777777777778,0.8,0.6444444444444445,0.7444444444444445,0.7533333333333333,0.7555555555555555,0.7777777777777778,0.8222222222222222,0.047088044667593525
converted_EQ.csv recall,0.6666666666666666,0.6428571428571429,0.7142857142857143,0.7380952380952381,0.6904761904761905,0.6190476190476191,0.6666666666666666,0.6904761904761905,0.5952380952380952,0.6666666666666666,0.5952380952380952,0.6547619047619048,0.6690476190476191,0.6666666666666666,0.6904761904761905,0.7380952380952381,0.04047619047619048
converted_EQ.csv recall,0.7272727272727273,0.75,0.7727272727272727,0.7272727272727273,0.6818181818181818,0.7045454545454546,0.7727272727272727,0.5681818181818182,0.7045454545454546,0.5909090909090909,0.5681818181818182,0.6931818181818181,0.7000000000000001,0.7159090909090909,0.7386363636363636,0.7727272727272727,0.0664942674469445
converted_EQ.csv recall,0.5490196078431373,0.45098039215686275,0.6470588235294118,0.5490196078431373,0.6078431372549019,0.6274509803921569,0.5098039215686274,0.6078431372549019,0.5882352941176471,0.5882352941176471,0.45098039215686275,0.5490196078431373,0.5725490196078431,0.5882352941176471,0.6078431372549019,0.6470588235294118,0.056011203361120386
converted_EQ.csv recall,0.6862745098039216,0.6862745098039216,0.7450980392156863,0.6862745098039216,0.7647058823529411,0.6470588235294118,0.7254901960784313,0.6666666666666666,0.7450980392156863,0.7058823529411765,0.6470588235294118,0.6862745098039216,0.7058823529411764,0.696078431372549,0.7352941176470589,0.7647058823529411,0.03615507630310935
converted_JDT.csv recall,0.5333333333333333,0.56,0.49333333333333335,0.52,0.6266666666666667,0.5333333333333333,0.6666666666666666,0.6133333333333333,0.52,0.56,0.49333333333333335,0.5266666666666666,0.5626666666666666,0.5466666666666666,0.5866666666666667,0.6666666666666666,0.052594887795509374
converted_JDT.csv recall,0.5454545454545454,0.6623376623376623,0.5844155844155844,0.6363636363636364,0.6363636363636364,0.5844155844155844,0.5194805194805194,0.5974025974025974,0.5974025974025974,0.6103896103896104,0.5194805194805194,0.5844155844155844,0.5974025974025974,0.5974025974025974,0.6233766233766234,0.6623376623376623,0.0406557814090871
converted_JDT.csv recall,0.5131578947368421,0.5526315789473685,0.4473684210526316,0.5,0.47368421052631576,0.618421052631579,0.40789473684210525,0.40789473684210525,0.4473684210526316,0.4868421052631579,0.40789473684210525,0.4473684210526316,0.4855263157894737,0.48026315789473684,0.506578947368421,0.618421052631579,0.061842105263157914
converted_JDT.csv recall,0.5942028985507246,0.6231884057971014,0.6231884057971014,0.6521739130434783,0.5507246376811594,0.6376811594202898,0.6811594202898551,0.6086956521739131,0.6521739130434783,0.6956521739130435,0.5507246376811594,0.6159420289855073,0.6318840579710144,0.6304347826086956,0.6521739130434783,0.6956521739130435,0.04005876800314566
converted_JDT.csv recall,0.49333333333333335,0.5066666666666667,0.6666666666666666,0.56,0.6666666666666666,0.5866666666666667,0.5466666666666666,0.6,0.6533333333333333,0.5866666666666667,0.49333333333333335,0.5533333333333333,0.5866666666666667,0.5866666666666667,0.6266666666666667,0.6666666666666666,0.05902918298980973
converted_JDT.csv recall,0.6,0.6444444444444445,0.5222222222222223,0.5888888888888889,0.5888888888888889,0.5444444444444444,0.5666666666666667,0.5777777777777777,0.5777777777777777,0.6777777777777778,0.5222222222222223,0.5722222222222222,0.5888888888888888,0.5833333333333333,0.5944444444444444,0.6777777777777778,0.042745297914825224
converted_JDT.csv recall,0.5352112676056338,0.5352112676056338,0.5492957746478874,0.6197183098591549,0.5070422535211268,0.5774647887323944,0.6056338028169014,0.5211267605633803,0.5774647887323944,0.5633802816901409,0.5070422535211268,0.5352112676056338,0.5591549295774647,0.5563380281690141,0.5774647887323944,0.6197183098591549,0.034528593442623275
converted_JDT.csv recall,0.5974025974025974,0.5324675324675324,0.4805194805194805,0.4155844155844156,0.5194805194805194,0.5064935064935064,0.5844155844155844,0.6233766233766234,0.5324675324675324,0.5064935064935064,0.4155844155844156,0.5064935064935064,0.5298701298701298,0.525974025974026,0.5584415584415584,0.6233766233766234,0.0574372581493402
converted_JDT.csv recall,0.5238095238095238,0.6666666666666666,0.6547619047619048,0.6071428571428571,0.6190476190476191,0.5833333333333334,0.5238095238095238,0.6309523809523809,0.5595238095238095,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.5988095238095239,0.6130952380952381,0.625,0.6666666666666666,0.047633926247006075
converted_JDT.csv recall,0.5671641791044776,0.5522388059701493,0.5373134328358209,0.5970149253731343,0.6119402985074627,0.582089552238806,0.582089552238806,0.5970149253731343,0.582089552238806,0.5373134328358209,0.5373134328358209,0.5597014925373134,0.5746268656716418,0.582089552238806,0.5895522388059702,0.6119402985074627,0.02429674715835776
converted_Lucene.csv recall,0.5,0.35,0.25,0.4,0.2,0.5,0.5,0.35,0.6,0.4,0.2,0.35,0.40499999999999997,0.4,0.5,0.6,0.1171537451385998
converted_Lucene.csv recall,0.47619047619047616,0.38095238095238093,0.5238095238095238,0.5238095238095238,0.2857142857142857,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.3333333333333333,0.23809523809523808,0.30952380952380953,0.3952380952380952,0.40476190476190477,0.47619047619047616,0.5238095238095238,0.1
converted_Lucene.csv recall,0.4,0.36,0.32,0.32,0.44,0.28,0.28,0.36,0.48,0.44,0.28,0.32,0.368,0.36,0.42000000000000004,0.48,0.0664529909033446
