inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
converted_EQ.csv recall,0.7111111111111111,0.6444444444444445,0.7555555555555555,0.7111111111111111,0.7333333333333333,0.7555555555555555,0.7333333333333333,0.7555555555555555,0.7777777777777778,0.7333333333333333,0.6444444444444445,0.7222222222222222,0.7311111111111112,0.7333333333333333,0.7555555555555555,0.7777777777777778,0.03506607519568777
converted_EQ.csv recall,0.7073170731707317,0.6097560975609756,0.6341463414634146,0.7804878048780488,0.7560975609756098,0.6585365853658537,0.6829268292682927,0.7317073170731707,0.5853658536585366,0.7804878048780488,0.5853658536585366,0.6463414634146342,0.6926829268292682,0.6951219512195121,0.7439024390243902,0.7804878048780488,0.06652771559505297
converted_EQ.csv recall,0.5777777777777777,0.6222222222222222,0.6,0.6888888888888889,0.6666666666666666,0.6444444444444445,0.6222222222222222,0.6,0.7111111111111111,0.7333333333333333,0.5777777777777777,0.6111111111111112,0.6466666666666667,0.6333333333333333,0.6777777777777778,0.7333333333333333,0.049140765305546626
converted_EQ.csv recall,0.6153846153846154,0.7307692307692307,0.6538461538461539,0.75,0.6730769230769231,0.6538461538461539,0.6923076923076923,0.6730769230769231,0.6923076923076923,0.6538461538461539,0.6153846153846154,0.6538461538461539,0.6788461538461539,0.6730769230769231,0.6923076923076923,0.75,0.03753696403065986
converted_EQ.csv recall,0.8113207547169812,0.8301886792452831,0.7358490566037735,0.7169811320754716,0.7924528301886793,0.7169811320754716,0.7547169811320755,0.8490566037735849,0.7358490566037735,0.8490566037735849,0.7169811320754716,0.7358490566037735,0.779245283018868,0.7735849056603774,0.8207547169811321,0.8490566037735849,0.050663100309802124
converted_EQ.csv recall,0.7777777777777778,0.6444444444444445,0.8222222222222222,0.7777777777777778,0.8222222222222222,0.6888888888888889,0.5555555555555556,0.7555555555555555,0.7777777777777778,0.8222222222222222,0.5555555555555556,0.7222222222222222,0.7444444444444444,0.7777777777777778,0.8,0.8222222222222222,0.0838870492807861
converted_EQ.csv recall,0.6904761904761905,0.6904761904761905,0.7857142857142857,0.6190476190476191,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.6904761904761905,0.7142857142857143,0.6190476190476191,0.6904761904761905,0.6976190476190476,0.6904761904761905,0.7142857142857143,0.7857142857142857,0.03991203479581002
converted_EQ.csv recall,0.5681818181818182,0.6590909090909091,0.6818181818181818,0.6363636363636364,0.5909090909090909,0.5909090909090909,0.6590909090909091,0.5454545454545454,0.7045454545454546,0.6818181818181818,0.5454545454545454,0.5909090909090909,0.6318181818181818,0.6477272727272727,0.6704545454545454,0.7045454545454546,0.051626439507275204
converted_EQ.csv recall,0.7058823529411765,0.7254901960784313,0.6666666666666666,0.5686274509803921,0.7254901960784313,0.6862745098039216,0.5490196078431373,0.6078431372549019,0.6470588235294118,0.6666666666666666,0.5490196078431373,0.6274509803921569,0.6549019607843138,0.6666666666666666,0.696078431372549,0.7254901960784313,0.058954103444599636
converted_EQ.csv recall,0.7254901960784313,0.7843137254901961,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.7450980392156863,0.6470588235294118,0.6862745098039216,0.6274509803921569,0.7254901960784313,0.6274509803921569,0.6274509803921569,0.6823529411764706,0.6666666666666667,0.7254901960784313,0.7843137254901961,0.05601120336112039
converted_JDT.csv recall,0.5866666666666667,0.6266666666666667,0.5733333333333334,0.6533333333333333,0.5733333333333334,0.6,0.6533333333333333,0.5866666666666667,0.5733333333333334,0.6133333333333333,0.5733333333333334,0.5800000000000001,0.604,0.5933333333333333,0.62,0.6533333333333333,0.029844039047465843
converted_JDT.csv recall,0.5844155844155844,0.6363636363636364,0.5844155844155844,0.5714285714285714,0.6233766233766234,0.5194805194805194,0.6233766233766234,0.5584415584415584,0.5844155844155844,0.6103896103896104,0.5194805194805194,0.577922077922078,0.5896103896103895,0.5844155844155844,0.6168831168831168,0.6363636363636364,0.03346519149798735
converted_JDT.csv recall,0.7105263157894737,0.5526315789473685,0.4868421052631579,0.5263157894736842,0.47368421052631576,0.5657894736842105,0.5,0.47368421052631576,0.5,0.5526315789473685,0.47368421052631576,0.493421052631579,0.5342105263157894,0.513157894736842,0.5526315789473685,0.7105263157894737,0.06688560540599386
converted_JDT.csv recall,0.5942028985507246,0.6086956521739131,0.5797101449275363,0.6376811594202898,0.5797101449275363,0.5942028985507246,0.6086956521739131,0.6231884057971014,0.6376811594202898,0.5072463768115942,0.5072463768115942,0.5869565217391304,0.5971014492753624,0.6014492753623188,0.6159420289855073,0.6376811594202898,0.035970068539103915
converted_JDT.csv recall,0.52,0.6533333333333333,0.6666666666666666,0.6533333333333333,0.56,0.7066666666666667,0.6266666666666667,0.5866666666666667,0.56,0.6133333333333333,0.52,0.5733333333333334,0.6146666666666667,0.62,0.6533333333333333,0.7066666666666667,0.05479659356809203
converted_JDT.csv recall,0.6333333333333333,0.6777777777777778,0.6444444444444445,0.6666666666666666,0.5666666666666667,0.5888888888888889,0.6222222222222222,0.6333333333333333,0.6333333333333333,0.6,0.5666666666666667,0.6111111111111112,0.6266666666666666,0.6333333333333333,0.6388888888888888,0.6777777777777778,0.03227964232518656
converted_JDT.csv recall,0.5492957746478874,0.647887323943662,0.6197183098591549,0.5492957746478874,0.6197183098591549,0.647887323943662,0.5633802816901409,0.6197183098591549,0.5915492957746479,0.6056338028169014,0.5492957746478874,0.5774647887323944,0.6014084507042254,0.6126760563380281,0.6197183098591549,0.647887323943662,0.03509841068838621
converted_JDT.csv recall,0.4675324675324675,0.4805194805194805,0.5844155844155844,0.5714285714285714,0.5064935064935064,0.5974025974025974,0.4805194805194805,0.5064935064935064,0.4935064935064935,0.6493506493506493,0.4675324675324675,0.487012987012987,0.5337662337662337,0.5064935064935064,0.577922077922078,0.6493506493506493,0.058786858689642986
converted_JDT.csv recall,0.5595238095238095,0.6071428571428571,0.7619047619047619,0.5357142857142857,0.6547619047619048,0.6071428571428571,0.6071428571428571,0.6904761904761905,0.6428571428571429,0.6071428571428571,0.5357142857142857,0.6071428571428571,0.6273809523809524,0.6071428571428571,0.6488095238095238,0.7619047619047619,0.06141057322156634
converted_JDT.csv recall,0.5970149253731343,0.6417910447761194,0.6119402985074627,0.5970149253731343,0.5970149253731343,0.5970149253731343,0.6417910447761194,0.5970149253731343,0.6865671641791045,0.5970149253731343,0.5970149253731343,0.5970149253731343,0.6164179104477612,0.5970149253731343,0.6268656716417911,0.6865671641791045,0.029133166113347972
converted_Lucene.csv recall,0.45,0.45,0.45,0.45,0.4,0.45,0.6,0.35,0.4,0.15,0.15,0.4,0.41500000000000004,0.45,0.45,0.6,0.10735455276791944
converted_Lucene.csv recall,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.5238095238095238,0.38095238095238093,0.38095238095238093,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.3333333333333333,0.38095238095238093,0.4238095238095238,0.38095238095238093,0.5,0.5238095238095238,0.07514158970504525
converted_Lucene.csv recall,0.4,0.6,0.36,0.44,0.32,0.24,0.36,0.28,0.4,0.44,0.24,0.33999999999999997,0.384,0.38,0.42000000000000004,0.6,0.09499473669630333
