inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
CM1.csv pf,0.4811320754716981,0.4811320754716981,0.4339622641509434,0.4811320754716981,0.4056603773584906,0.4811320754716981,0.4339622641509434,0.3867924528301887,0.4811320754716981,0.4056603773584906,0.3867924528301887,0.419811320754717,0.44716981132075473,0.45754716981132076,0.4811320754716981,0.4811320754716981,0.03634218921558154
CM1.csv pf,0.44761904761904764,0.44761904761904764,0.42857142857142855,0.45714285714285713,0.44761904761904764,0.45714285714285713,0.5142857142857142,0.44761904761904764,0.5047619047619047,0.5142857142857142,0.42857142857142855,0.44761904761904764,0.4666666666666666,0.4523809523809524,0.4809523809523809,0.5142857142857142,0.030116930096841688
CM1.csv pf,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.37719298245614036,0.0
CM1.csv pf,0.3761467889908257,0.42201834862385323,0.42201834862385323,0.4954128440366973,0.3761467889908257,0.42201834862385323,0.3761467889908257,0.46788990825688076,0.3761467889908257,0.3944954128440367,0.3761467889908257,0.3761467889908257,0.4128440366972478,0.40825688073394495,0.42201834862385323,0.4954128440366973,0.03977886860308037
CM1.csv pf,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4895833333333333,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4895833333333333,0.4895833333333333,0.5416666666666666,0.53125,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.020833333333333325
CM1.csv pf,0.4,0.4727272727272727,0.4,0.4,0.4,0.4,0.4,0.4727272727272727,0.4,0.4,0.4,0.4,0.41454545454545455,0.4,0.4,0.4727272727272727,0.029090909090909077
CM1.csv pf,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.0
CM1.csv pf,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.23423423423423423,0.23423423423423423,0.4954954954954955,0.4693693693693694,0.4954954954954955,0.4954954954954955,0.4954954954954955,0.07837837837837838
CM1.csv pf,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5560439560439561,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.05274725274725276
CM1.csv pf,0.38613861386138615,0.33663366336633666,0.33663366336633666,0.38613861386138615,0.33663366336633666,0.33663366336633666,0.33663366336633666,0.33663366336633666,0.38613861386138615,0.33663366336633666,0.33663366336633666,0.33663366336633666,0.35148514851485146,0.33663366336633666,0.3613861386138614,0.38613861386138615,0.02268601829186059
