inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
CM1.csv brier,0.2923076923076923,0.3,0.2846153846153846,0.2846153846153846,0.2923076923076923,0.3,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.2846153846153846,0.2892307692307692,0.2846153846153846,0.2923076923076923,0.3,0.006153846153846157
CM1.csv brier,0.1896551724137931,0.19827586206896552,0.1724137931034483,0.1810344827586207,0.1724137931034483,0.1896551724137931,0.1810344827586207,0.1896551724137931,0.1724137931034483,0.1896551724137931,0.1724137931034483,0.17672413793103448,0.18362068965517242,0.1853448275862069,0.1896551724137931,0.19827586206896552,0.008663685880276623
CM1.csv brier,0.4094488188976378,0.3937007874015748,0.3937007874015748,0.3937007874015748,0.41732283464566927,0.4015748031496063,0.4015748031496063,0.4015748031496063,0.3937007874015748,0.3779527559055118,0.3779527559055118,0.3937007874015748,0.3984251968503937,0.39763779527559057,0.4015748031496063,0.41732283464566927,0.010083660216429677
CM1.csv brier,0.22950819672131148,0.23770491803278687,0.23770491803278687,0.2459016393442623,0.27049180327868855,0.2540983606557377,0.22950819672131148,0.2540983606557377,0.23770491803278687,0.26229508196721313,0.22950819672131148,0.23770491803278687,0.24590163934426226,0.24180327868852458,0.2540983606557377,0.27049180327868855,0.0132168159808173
CM1.csv brier,0.2905982905982906,0.2905982905982906,0.2564102564102564,0.29914529914529914,0.29914529914529914,0.28205128205128205,0.2905982905982906,0.26495726495726496,0.2905982905982906,0.29914529914529914,0.2564102564102564,0.2863247863247863,0.2863247863247863,0.2905982905982906,0.2948717948717949,0.29914529914529914,0.013913521877008301
CM1.csv brier,0.2831858407079646,0.2831858407079646,0.2743362831858407,0.2743362831858407,0.2743362831858407,0.26548672566371684,0.2831858407079646,0.2920353982300885,0.2920353982300885,0.3008849557522124,0.26548672566371684,0.2743362831858407,0.2823008849557522,0.2831858407079646,0.28761061946902655,0.3008849557522124,0.0100511652138058
CM1.csv brier,0.328,0.344,0.32,0.328,0.32,0.336,0.32,0.32,0.336,0.336,0.32,0.32,0.3287999999999999,0.328,0.336,0.344,0.008352245207128437
CM1.csv brier,0.26495726495726496,0.24786324786324787,0.27350427350427353,0.24786324786324787,0.24786324786324787,0.2564102564102564,0.26495726495726496,0.26495726495726496,0.24786324786324787,0.26495726495726496,0.24786324786324787,0.24786324786324787,0.2581196581196581,0.26068376068376065,0.26495726495726496,0.27350427350427353,0.00920540992672565
CM1.csv brier,0.29365079365079366,0.2857142857142857,0.30952380952380953,0.2777777777777778,0.2857142857142857,0.30158730158730157,0.2698412698412698,0.30158730158730157,0.30952380952380953,0.30158730158730157,0.2698412698412698,0.2857142857142857,0.2936507936507936,0.2976190476190476,0.30158730158730157,0.30952380952380953,0.012797234521108812
CM1.csv brier,0.22131147540983606,0.22950819672131148,0.23770491803278687,0.20491803278688525,0.23770491803278687,0.23770491803278687,0.21311475409836064,0.22131147540983606,0.23770491803278687,0.21311475409836064,0.20491803278688525,0.21721311475409835,0.22540983606557377,0.22540983606557377,0.23770491803278687,0.23770491803278687,0.011735918904324875
KC1.csv brier,0.5214446952595937,0.5146726862302483,0.5169300225733634,0.5237020316027088,0.5259593679458239,0.5304740406320542,0.5327313769751693,0.5169300225733634,0.5214446952595937,0.5259593679458239,0.5146726862302483,0.5191873589164786,0.5230248306997742,0.5225733634311512,0.5259593679458239,0.5327313769751693,0.005625253180305685
KC1.csv brier,0.6416861826697893,0.6370023419203747,0.6416861826697893,0.6276346604215457,0.6323185011709602,0.629976580796253,0.639344262295082,0.639344262295082,0.639344262295082,0.639344262295082,0.6276346604215457,0.6346604215456675,0.6367681498829041,0.639344262295082,0.639344262295082,0.6416861826697893,0.004736240846875107
KC1.csv brier,0.6284403669724771,0.6353211009174312,0.6376146788990825,0.6376146788990825,0.6399082568807339,0.6399082568807339,0.6330275229357798,0.6330275229357798,0.6307339449541285,0.6444954128440367,0.6284403669724771,0.6330275229357798,0.6360091743119265,0.6364678899082569,0.6387614678899083,0.6444954128440367,0.004592886329013926
KC1.csv brier,0.6221719457013575,0.6176470588235294,0.6221719457013575,0.6266968325791855,0.6131221719457014,0.6153846153846154,0.6199095022624435,0.6108597285067874,0.6153846153846154,0.6108597285067874,0.6108597285067874,0.6142533936651584,0.6174208144796379,0.6165158371040724,0.6210407239819005,0.6266968325791855,0.0050030190921936425
KC1.csv brier,0.6518691588785047,0.6425233644859814,0.6518691588785047,0.6518691588785047,0.6448598130841121,0.6542056074766355,0.6518691588785047,0.6425233644859814,0.6355140186915887,0.647196261682243,0.6355140186915887,0.6436915887850467,0.6474299065420561,0.6495327102803738,0.6518691588785047,0.6542056074766355,0.005670402382949357
KC1.csv brier,0.6353211009174312,0.6444954128440367,0.6376146788990825,0.6376146788990825,0.6422018348623854,0.6353211009174312,0.6399082568807339,0.6330275229357798,0.6330275229357798,0.6376146788990825,0.6330275229357798,0.6353211009174312,0.6376146788990826,0.6376146788990825,0.6387614678899083,0.6444954128440367,0.00355319573046552
KC1.csv brier,0.6465116279069767,0.6488372093023256,0.6441860465116279,0.6465116279069767,0.6465116279069767,0.6488372093023256,0.6465116279069767,0.6534883720930232,0.6441860465116279,0.6441860465116279,0.6441860465116279,0.6453488372093024,0.6469767441860464,0.6465116279069767,0.6476744186046511,0.6534883720930232,0.0027120706487652516
KC1.csv brier,0.6129807692307693,0.6153846153846154,0.6129807692307693,0.6129807692307693,0.6177884615384616,0.6177884615384616,0.6225961538461539,0.6081730769230769,0.6105769230769231,0.6057692307692307,0.6057692307692307,0.6117788461538463,0.6137019230769232,0.6129807692307693,0.6165865384615385,0.6225961538461539,0.004692120503832499
KC1.csv brier,0.6597701149425287,0.6574712643678161,0.6597701149425287,0.6528735632183909,0.6551724137931034,0.6551724137931034,0.6459770114942529,0.6505747126436782,0.6574712643678161,0.6505747126436782,0.6459770114942529,0.6517241379310346,0.6544827586206896,0.6551724137931034,0.6574712643678161,0.6597701149425287,0.004245100071866506
KC1.csv brier,0.506578947368421,0.506578947368421,0.5043859649122807,0.5,0.5109649122807017,0.5043859649122807,0.506578947368421,0.5109649122807017,0.5021929824561403,0.506578947368421,0.5,0.5043859649122807,0.5059210526315789,0.506578947368421,0.506578947368421,0.5109649122807017,0.0032601027954645796
MW1.csv brier,0.2,0.18888888888888888,0.2111111111111111,0.2,0.2222222222222222,0.2,0.2,0.18888888888888888,0.2,0.2111111111111111,0.18888888888888888,0.2,0.20222222222222222,0.2,0.20555555555555555,0.2222222222222222,0.00968644209675705
MW1.csv brier,0.1702127659574468,0.18085106382978725,0.1702127659574468,0.1702127659574468,0.1702127659574468,0.1702127659574468,0.1702127659574468,0.1595744680851064,0.18085106382978725,0.1702127659574468,0.1595744680851064,0.1702127659574468,0.17127659574468085,0.1702127659574468,0.1702127659574468,0.18085106382978725,0.005728898730994156
MW1.csv brier,0.20652173913043478,0.1956521739130435,0.18478260869565216,0.18478260869565216,0.17391304347826086,0.1956521739130435,0.18478260869565216,0.17391304347826086,0.18478260869565216,0.18478260869565216,0.17391304347826086,0.18478260869565216,0.1869565217391304,0.18478260869565216,0.19021739130434784,0.20652173913043478,0.009475867268566687
MW1.csv brier,0.1797752808988764,0.19101123595505617,0.15730337078651685,0.1797752808988764,0.1797752808988764,0.15730337078651685,0.15730337078651685,0.1797752808988764,0.1797752808988764,0.16853932584269662,0.15730337078651685,0.16292134831460675,0.17303370786516853,0.1797752808988764,0.1797752808988764,0.19101123595505617,0.011458470817062435
MW1.csv brier,0.15841584158415842,0.16831683168316833,0.16831683168316833,0.1485148514851485,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.15841584158415842,0.16831683168316833,0.15841584158415842,0.1485148514851485,0.15841584158415842,0.16336633663366334,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.006641786071781559
