wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
10.0,1.0,0.0,6.0,31.0,1.0,0.0,6.0,9.0,0.5,156.0,1.0,1.0,0.0,0.355556,0.0,0.0,14.4,1.0,0.8,1
25.0,1.0,0.0,13.0,74.0,0.0,0.0,13.0,23.0,0.444444,901.0,1.0,2.0,0.0,0.204545,0.0,0.0,34.92,1.0,0.92,1
13.0,1.0,0.0,19.0,56.0,54.0,0.0,19.0,11.0,0.898148,224.0,1.0,4.0,0.0,0.173077,0.0,0.0,15.538462,4.0,1.1538,1
10.0,1.0,0.0,6.0,10.0,45.0,2.0,4.0,10.0,2.0,10.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,1.0,1
7.0,1.0,0.0,6.0,7.0,21.0,3.0,3.0,7.0,2.0,7.0,0.0,0.0,0.0,0.464286,0.0,0.0,0.0,1.0,1.0,1
16.0,4.0,0.0,19.0,79.0,114.0,0.0,19.0,13.0,0.933333,616.0,1.0,1.0,0.788732,0.265625,0.0,0.0,37.375,34.0,4.1875,1
3.0,1.0,0.0,8.0,14.0,3.0,3.0,5.0,3.0,2.0,85.0,0.0,0.0,0.0,0.5,0.0,0.0,27.333333,9.0,3.3333,1
38.0,1.0,0.0,30.0,155.0,485.0,0.0,30.0,34.0,0.922604,1564.0,1.0,7.0,0.0,0.138315,0.0,0.0,39.578947,7.0,1.4737,1
35.0,1.0,0.0,29.0,121.0,373.0,0.0,29.0,31.0,0.910294,1250.0,1.0,5.0,0.0,0.165966,0.0,0.0,34.142857,5.0,1.2286,1
18.0,1.0,0.0,17.0,46.0,97.0,0.0,17.0,17.0,0.898396,277.0,1.0,4.0,0.0,0.211765,0.0,0.0,13.777778,3.0,1.0556,1
3.0,1.0,0.0,3.0,5.0,3.0,0.0,3.0,3.0,2.0,14.0,0.0,0.0,0.0,0.5,0.0,0.0,3.666667,1.0,0.6667,1
8.0,1.0,0.0,16.0,21.0,14.0,13.0,3.0,8.0,0.809524,111.0,1.0,0.0,0.0,0.34375,1.0,1.0,12.5,7.0,1.875,1
3.0,1.0,0.0,3.0,5.0,3.0,0.0,3.0,3.0,2.0,14.0,0.0,0.0,0.0,0.5,0.0,0.0,3.666667,1.0,0.6667,1
7.0,1.0,0.0,4.0,7.0,21.0,2.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.357143,0.0,0.0,0.0,1.0,1.0,1
22.0,1.0,0.0,16.0,114.0,165.0,0.0,16.0,11.0,0.89881,746.0,1.0,3.0,0.0,0.139683,0.0,0.0,32.545455,5.0,1.1818,1
22.0,1.0,0.0,18.0,72.0,47.0,0.0,18.0,16.0,0.666667,679.0,1.0,3.0,0.0,0.179487,0.0,0.0,29.636364,3.0,1.0909,1
4.0,4.0,0.0,8.0,12.0,6.0,0.0,8.0,4.0,2.0,56.0,0.0,0.0,0.949153,0.875,0.0,0.0,13.0,1.0,0.75,1
4.0,1.0,0.0,4.0,6.0,6.0,0.0,4.0,4.0,1.0,26.0,1.0,1.0,0.0,0.4,0.0,0.0,5.25,3.0,1.25,1
9.0,4.0,0.0,19.0,36.0,34.0,0.0,19.0,9.0,2.0,175.0,0.0,0.0,0.875,0.314815,0.0,0.0,18.444444,1.0,0.8889,1
29.0,1.0,0.0,24.0,91.0,238.0,0.0,24.0,19.0,0.89916,641.0,1.0,6.0,0.0,0.16092,0.0,0.0,20.517241,4.0,1.4483,1
11.0,1.0,0.0,10.0,11.0,55.0,3.0,7.0,11.0,2.0,11.0,0.0,0.0,0.0,0.337662,0.0,0.0,0.0,1.0,1.0,1
23.0,1.0,0.0,5.0,29.0,223.0,3.0,2.0,23.0,0.954545,134.0,1.0,2.0,0.0,0.204969,1.0,1.0,4.347826,2.0,1.0,1
3.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
20.0,1.0,0.0,13.0,20.0,190.0,7.0,6.0,20.0,2.0,20.0,0.0,0.0,0.0,0.328571,0.0,0.0,0.0,1.0,1.0,1
14.0,1.0,0.0,5.0,21.0,63.0,4.0,1.0,14.0,0.910256,112.0,1.0,1.0,0.0,0.285714,1.0,1.0,6.571429,6.0,1.3571,1
21.0,1.0,0.0,16.0,53.0,154.0,0.0,16.0,16.0,0.892308,389.0,1.0,4.0,0.0,0.176871,0.0,0.0,16.904762,1.0,0.9524,1
19.0,1.0,0.0,30.0,93.0,139.0,0.0,30.0,16.0,0.931624,506.0,1.0,7.0,0.0,0.138889,0.0,0.0,24.947368,8.0,1.5789,1
7.0,1.0,0.0,6.0,19.0,7.0,0.0,6.0,6.0,0.75,117.0,1.0,2.0,0.0,0.366667,0.0,0.0,15.142857,3.0,1.1429,0
13.0,1.0,0.0,1.0,17.0,64.0,0.0,1.0,12.0,0.916667,117.0,1.0,0.0,0.0,0.461538,0.0,0.0,7.461538,3.0,1.3846,0
7.0,4.0,4.0,48.0,12.0,19.0,47.0,1.0,6.0,0.944444,44.0,0.333333,0.0,0.866667,0.458333,0.0,0.0,4.857143,1.0,0.2857,0
4.0,1.0,0.0,4.0,4.0,6.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
4.0,5.0,0.0,2.0,8.0,6.0,1.0,1.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666667,0.0,0.0,4.0,0.0,0.0,0
5.0,1.0,0.0,2.0,6.0,6.0,1.0,1.0,5.0,0.916667,25.0,1.0,1.0,0.0,0.466667,0.0,0.0,3.4,1.0,0.8,0
9.0,1.0,0.0,6.0,9.0,36.0,3.0,3.0,9.0,2.0,9.0,0.0,0.0,0.0,0.425926,0.0,0.0,0.0,1.0,1.0,0
15.0,1.0,0.0,6.0,19.0,83.0,4.0,2.0,15.0,0.928571,123.0,1.0,2.0,0.0,0.209524,1.0,1.0,6.733333,7.0,1.4,0
30.0,1.0,0.0,1.0,34.0,389.0,0.0,1.0,29.0,0.946708,266.0,1.0,0.0,0.0,0.433333,0.0,0.0,7.5,3.0,1.4667,0
10.0,1.0,0.0,4.0,19.0,0.0,2.0,2.0,10.0,0.694444,115.0,1.0,3.0,0.0,0.35,1.0,1.0,10.1,5.0,1.3,0
3.0,1.0,0.0,3.0,9.0,3.0,0.0,3.0,3.0,2.0,40.0,0.0,0.0,0.0,0.5,0.0,0.0,12.333333,5.0,2.0,0
11.0,1.0,0.0,8.0,18.0,13.0,7.0,1.0,11.0,0.775,130.0,1.0,1.0,0.0,0.287879,1.0,1.0,10.454545,7.0,1.3636,0
10.0,1.0,1.0,14.0,29.0,21.0,5.0,9.0,6.0,0.777778,150.0,1.0,0.0,0.0,0.44,0.0,0.0,13.6,2.0,1.2,0
3.0,4.0,0.0,3.0,10.0,3.0,0.0,3.0,3.0,2.0,33.0,0.0,0.0,0.965517,0.833333,0.0,0.0,10.0,1.0,0.6667,0
13.0,1.0,0.0,6.0,35.0,64.0,0.0,6.0,13.0,0.9375,254.0,1.0,0.0,0.0,0.259615,0.0,0.0,17.923077,2.0,1.0,0
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
7.0,1.0,0.0,13.0,7.0,21.0,13.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.464286,0.0,0.0,0.0,1.0,1.0,0
9.0,1.0,0.0,6.0,15.0,4.0,6.0,1.0,9.0,0.791667,101.0,1.0,1.0,0.0,0.361111,1.0,1.0,9.888889,7.0,1.5556,0
8.0,1.0,0.0,4.0,15.0,6.0,4.0,0.0,8.0,0.809524,82.0,1.0,0.0,0.0,0.34375,1.0,1.0,8.875,6.0,1.625,0
4.0,2.0,0.0,3.0,7.0,4.0,3.0,0.0,2.0,0.966667,122.0,0.1,10.0,0.846154,0.444444,1.0,1.0,27.0,1.0,0.5,0
5.0,4.0,0.0,18.0,41.0,10.0,0.0,18.0,4.0,2.0,157.0,0.0,0.0,0.933333,0.5,0.0,0.0,30.4,12.0,3.6,0
1.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0
14.0,1.0,0.0,8.0,42.0,27.0,0.0,8.0,13.0,0.769231,280.0,1.0,3.0,0.0,0.241758,0.0,0.0,18.642857,1.0,0.8571,0
1.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
8.0,1.0,0.0,5.0,14.0,0.0,3.0,2.0,8.0,0.666667,122.0,1.0,2.0,0.0,0.40625,1.0,1.0,13.875,10.0,2.125,0
2.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,0
5.0,1.0,0.0,11.0,27.0,6.0,0.0,11.0,5.0,0.75,138.0,1.0,2.0,0.0,0.333333,0.0,0.0,26.2,11.0,2.8,0
19.0,1.0,0.0,12.0,23.0,137.0,8.0,4.0,18.0,0.946296,242.0,1.0,2.0,0.0,0.37037,0.0,0.0,10.157895,1.0,0.8947,0
1.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
18.0,1.0,0.0,9.0,38.0,103.0,6.0,3.0,15.0,0.811765,239.0,1.0,2.0,0.0,0.242647,0.0,0.0,12.0,6.0,1.3333,0
9.0,1.0,0.0,7.0,9.0,36.0,4.0,3.0,9.0,2.0,9.0,0.0,0.0,0.0,0.285714,0.0,0.0,0.0,1.0,1.0,0
6.0,4.0,0.0,11.0,26.0,15.0,0.0,11.0,4.0,2.0,103.0,0.0,0.0,0.918033,0.5,0.0,0.0,16.166667,6.0,1.6667,0
3.0,2.0,0.0,5.0,11.0,3.0,4.0,1.0,3.0,2.0,33.0,0.0,0.0,0.882353,0.555556,1.0,1.0,10.0,1.0,0.6667,0
4.0,2.0,0.0,4.0,14.0,4.0,0.0,4.0,4.0,0.666667,68.0,1.0,0.0,0.8125,0.4375,1.0,1.0,15.75,4.0,1.5,0
55.0,1.0,0.0,74.0,63.0,1417.0,71.0,3.0,55.0,0.980057,318.0,1.0,5.0,0.0,0.113287,1.0,1.0,4.309091,6.0,1.0909,0
23.0,1.0,0.0,23.0,66.0,159.0,0.0,23.0,21.0,0.915584,439.0,1.0,6.0,0.0,0.165584,0.0,0.0,17.478261,5.0,1.2609,0
28.0,1.0,0.0,27.0,28.0,378.0,24.0,3.0,28.0,2.0,28.0,0.0,0.0,0.0,0.228571,0.0,0.0,0.0,1.0,1.0,0
4.0,2.0,0.0,1.0,10.0,4.0,0.0,1.0,4.0,0.666667,49.0,1.0,0.0,0.8125,0.4375,1.0,1.0,11.0,3.0,1.25,0
5.0,3.0,0.0,1.0,41.0,2.0,0.0,1.0,2.0,0.833333,236.0,1.0,0.0,0.888889,0.35,1.0,2.0,45.6,2.0,0.8,0
12.0,1.0,0.0,6.0,12.0,66.0,3.0,3.0,12.0,2.0,12.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,1.0,1.0,0
16.0,1.0,0.0,18.0,23.0,98.0,15.0,3.0,16.0,0.92381,122.0,1.0,3.0,0.0,0.179688,1.0,1.0,6.1875,6.0,1.3125,0
3.0,1.0,0.0,2.0,5.0,3.0,0.0,2.0,3.0,2.0,11.0,0.0,0.0,0.0,0.5,0.0,0.0,2.666667,1.0,0.6667,0
2.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,2.0,2.0,20.0,0.0,0.0,0.0,0.5,0.0,0.0,9.0,1.0,0.5,0
2.0,1.0,0.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
4.0,2.0,0.0,4.0,14.0,4.0,1.0,4.0,4.0,0.666667,73.0,1.0,0.0,0.8125,0.4375,1.0,1.0,17.0,4.0,1.5,0
21.0,1.0,0.0,4.0,25.0,182.0,4.0,0.0,21.0,0.95,153.0,1.0,0.0,0.0,0.210884,1.0,1.0,5.809524,7.0,1.2857,0
0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,2.0,0.0,4.0,21.0,55.0,2.0,2.0,14.0,0.846154,161.0,0.0,0.0,0.409091,0.47619,2.0,2.0,10.071429,13.0,1.7857,0
4.0,1.0,0.0,5.0,4.0,6.0,4.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,1.0,1.0,0
