inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
arc.csv pf,0.1,0.175,0.1625,0.1625,0.1375,0.0875,0.1,0.175,0.2125,0.1625,0.0875,0.11875000000000001,0.14750000000000002,0.1625,0.16875,0.2125,0.03824264635194589
arc.csv pf,0.18666666666666668,0.21333333333333335,0.21333333333333335,0.17333333333333334,0.22666666666666666,0.2,0.2,0.16,0.14666666666666667,0.18666666666666668,0.14666666666666667,0.18,0.19066666666666668,0.19333333333333336,0.20666666666666667,0.22666666666666666,0.023888630489558558
arc.csv pf,0.0875,0.0875,0.075,0.075,0.125,0.0875,0.0625,0.0875,0.0625,0.1125,0.0625,0.075,0.08625000000000001,0.0875,0.0875,0.125,0.018915932438026948
arc.csv pf,0.208955223880597,0.23880597014925373,0.23880597014925373,0.22388059701492538,0.31343283582089554,0.22388059701492538,0.1791044776119403,0.2835820895522388,0.22388059701492538,0.22388059701492538,0.1791044776119403,0.22388059701492538,0.23582089552238808,0.22388059701492538,0.23880597014925373,0.31343283582089554,0.03582089552238806
arc.csv pf,0.16883116883116883,0.11688311688311688,0.09090909090909091,0.09090909090909091,0.16883116883116883,0.16883116883116883,0.15584415584415584,0.1038961038961039,0.11688311688311688,0.07792207792207792,0.07792207792207792,0.09740259740259741,0.12597402597402596,0.11688311688311688,0.16233766233766234,0.16883116883116883,0.03438494102564604
arc.csv pf,0.16883116883116883,0.1038961038961039,0.16883116883116883,0.19480519480519481,0.14285714285714285,0.16883116883116883,0.18181818181818182,0.11688311688311688,0.14285714285714285,0.24675324675324675,0.1038961038961039,0.14285714285714285,0.16363636363636364,0.16883116883116883,0.17532467532467533,0.24675324675324675,0.03861316557745066
arc.csv pf,0.12941176470588237,0.15294117647058825,0.12941176470588237,0.15294117647058825,0.18823529411764706,0.1411764705882353,0.16470588235294117,0.24705882352941178,0.15294117647058825,0.16470588235294117,0.12941176470588237,0.14705882352941177,0.16235294117647062,0.15294117647058825,0.16470588235294117,0.24705882352941178,0.03277267829925675
arc.csv pf,0.3013698630136986,0.2465753424657534,0.1232876712328767,0.0821917808219178,0.136986301369863,0.1506849315068493,0.1643835616438356,0.136986301369863,0.1232876712328767,0.0547945205479452,0.0547945205479452,0.1232876712328767,0.15205479452054793,0.136986301369863,0.15753424657534246,0.3013698630136986,0.0691611263636402
arc.csv pf,0.17857142857142858,0.16666666666666666,0.11904761904761904,0.17857142857142858,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.17857142857142858,0.11904761904761904,0.14285714285714285,0.15833333333333335,0.16666666666666666,0.17261904761904762,0.17857142857142858,0.019232731454051803
arc.csv pf,0.045454545454545456,0.07575757575757576,0.10606060606060606,0.10606060606060606,0.12121212121212122,0.16666666666666666,0.10606060606060606,0.07575757575757576,0.12121212121212122,0.10606060606060606,0.045454545454545456,0.09090909090909091,0.10303030303030303,0.10606060606060606,0.11363636363636365,0.16666666666666666,0.030903148567228995
ivy-2.0.csv pf,0.17857142857142858,0.17857142857142858,0.16071428571428573,0.14285714285714285,0.16071428571428573,0.16071428571428573,0.19642857142857142,0.19642857142857142,0.16964285714285715,0.1875,0.14285714285714285,0.16071428571428573,0.1732142857142857,0.17410714285714285,0.1830357142857143,0.19642857142857142,0.0165600330276709
ivy-2.0.csv pf,0.21367521367521367,0.23076923076923078,0.2222222222222222,0.18803418803418803,0.24786324786324787,0.24786324786324787,0.1623931623931624,0.17094017094017094,0.26495726495726496,0.20512820512820512,0.1623931623931624,0.19658119658119658,0.21538461538461537,0.21794871794871795,0.23931623931623933,0.26495726495726496,0.032388539011104986
ivy-2.0.csv pf,0.14035087719298245,0.16666666666666666,0.15789473684210525,0.12280701754385964,0.13157894736842105,0.12280701754385964,0.14035087719298245,0.14912280701754385,0.15789473684210525,0.14035087719298245,0.12280701754385964,0.13596491228070173,0.14298245614035088,0.14035087719298245,0.15350877192982454,0.16666666666666666,0.014171486334564484
ivy-2.0.csv pf,0.10091743119266056,0.12844036697247707,0.11009174311926606,0.11926605504587157,0.12844036697247707,0.11009174311926606,0.13761467889908258,0.1559633027522936,0.11009174311926606,0.10091743119266056,0.10091743119266056,0.11009174311926606,0.12018348623853212,0.11467889908256881,0.12844036697247707,0.1559633027522936,0.016640694630474365
