inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
arc.csv recall,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.3,0.2,0.3,0.1,0.2,0.24,0.25,0.3,0.3,0.06633249580710798
arc.csv recall,0.5,0.2857142857142857,0.5,0.42857142857142855,0.5,0.5,0.35714285714285715,0.5,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.39285714285714285,0.4428571428571429,0.5,0.5,0.5714285714285714,0.09476070829586856
arc.csv recall,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.11818181818181817,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.05821022034029863
arc.csv recall,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.13636363636363635,0.20909090909090908,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.10794856442761741
arc.csv recall,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.125,0.125,0.16666666666666666,0.16666666666666666,0.041666666666666664
arc.csv recall,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,0.11666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.07637626158259733
arc.csv recall,0.375,0.25,0.25,0.375,0.25,0.375,0.375,0.25,0.375,0.375,0.25,0.25,0.325,0.375,0.375,0.375,0.06123724356957946
arc.csv recall,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.1,0.2,0.1,0.2,0.22000000000000003,0.2,0.25,0.3,0.05999999999999999
arc.csv recall,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.15000000000000002,0.15000000000000002,0.2,0.2,0.05
arc.csv recall,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.09229582069908972
ivy-2.0.csv recall,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.40909090909090906,0.42727272727272725,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.07100226978096957
ivy-2.0.csv recall,0.375,0.5625,0.4375,0.25,0.5625,0.3125,0.4375,0.3125,0.375,0.4375,0.25,0.34375,0.40625,0.40625,0.4375,0.5625,0.0978279740156158
ivy-2.0.csv recall,0.4,0.5333333333333333,0.4,0.4,0.3333333333333333,0.4666666666666667,0.4,0.3333333333333333,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.3666666666666667,0.4,0.4,0.43333333333333335,0.5333333333333333,0.07302967433402216
ivy-2.0.csv recall,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.6,0.26666666666666666,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.6,0.26666666666666666,0.4,0.45999999999999996,0.4666666666666667,0.5333333333333333,0.6,0.10934146311237818
ivy-2.0.csv recall,0.4444444444444444,0.5555555555555556,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.4444444444444444,0.3888888888888889,0.2222222222222222,0.2777777777777778,0.3611111111111111,0.33333333333333337,0.4444444444444444,0.5555555555555556,0.10318986456114838
ivy-2.0.csv recall,0.3125,0.4375,0.5,0.5,0.4375,0.6875,0.4375,0.375,0.5625,0.4375,0.3125,0.4375,0.46875,0.4375,0.5,0.6875,0.0978279740156158
ivy-2.0.csv recall,0.3,0.25,0.25,0.15,0.2,0.25,0.2,0.15,0.2,0.2,0.15,0.2,0.215,0.2,0.25,0.3,0.045
ivy-2.0.csv recall,0.3333333333333333,0.4,0.4666666666666667,0.4,0.26666666666666666,0.4666666666666667,0.4,0.4,0.5333333333333333,0.4,0.26666666666666666,0.4,0.40666666666666673,0.4,0.43333333333333335,0.5333333333333333,0.069602043392737
ivy-2.0.csv recall,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.0,0.17857142857142855,0.21428571428571427,0.21428571428571427,0.25,0.35714285714285715,0.10101525445522108
ivy-2.0.csv recall,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.24285714285714288,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.07953949089757174
log4j-1.1.csv recall,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.8461538461538461,0.9230769230769231,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9076923076923077,0.9230769230769231,0.9230769230769231,1.0,0.057563959796522186
log4j-1.1.csv recall,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.7058823529411765,0.6470588235294118,0.47058823529411764,0.6470588235294118,0.5882352941176471,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.5705882352941176,0.5882352941176471,0.6470588235294118,0.7058823529411765,0.08744746321952064
log4j-1.1.csv recall,0.625,0.75,0.5625,0.6875,0.625,0.625,0.625,0.625,0.625,0.6875,0.5625,0.625,0.64375,0.625,0.65625,0.75,0.048814060474416596
log4j-1.1.csv recall,0.5384615384615384,0.7692307692307693,0.6153846153846154,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.6923076923076923,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.5769230769230769,0.5384615384615384,0.5769230769230769,0.7692307692307693,0.08600261451922268
log4j-1.1.csv recall,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0
log4j-1.1.csv recall,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.05443310539518176
log4j-1.1.csv recall,0.5,0.75,0.75,0.375,0.75,0.375,0.5,0.375,0.625,0.625,0.375,0.4375,0.5625,0.5625,0.6875,0.75,0.1505199322349037
log4j-1.1.csv recall,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.75,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.75,0.7666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.097182531580755
