inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
arc.csv recall,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.22000000000000003,0.2,0.2,0.4,0.07483314773547883
arc.csv recall,0.42857142857142855,0.5,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.35714285714285715,0.5,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.3214285714285714,0.3857142857142857,0.42857142857142855,0.4642857142857143,0.5714285714285714,0.12857142857142856
arc.csv recall,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.06363636363636363,0.045454545454545456,0.09090909090909091,0.2727272727272727,0.08181818181818182
arc.csv recall,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.3454545454545455,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.06803013430498075
arc.csv recall,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.125,0.1583333333333333,0.16666666666666666,0.16666666666666666,0.25,0.058333333333333334
arc.csv recall,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.10540925533894598
arc.csv recall,0.375,0.25,0.25,0.375,0.375,0.25,0.375,0.375,0.375,0.25,0.25,0.25,0.325,0.375,0.375,0.375,0.06123724356957946
arc.csv recall,0.2,0.3,0.2,0.2,0.3,0.2,0.1,0.3,0.3,0.2,0.1,0.2,0.23000000000000004,0.2,0.3,0.3,0.06403124237432847
arc.csv recall,0.2,0.2,0.0,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.0,0.1,0.15000000000000002,0.2,0.2,0.2,0.0670820393249937
arc.csv recall,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2555555555555556,0.2222222222222222,0.2777777777777778,0.4444444444444444,0.08678055195451839
ivy-2.0.csv recall,0.36363636363636365,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.46363636363636357,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.04895604370122275
ivy-2.0.csv recall,0.375,0.5625,0.5,0.375,0.4375,0.625,0.3125,0.4375,0.25,0.4375,0.25,0.375,0.43125,0.4375,0.46875,0.625,0.10625
ivy-2.0.csv recall,0.4,0.3333333333333333,0.4666666666666667,0.4,0.5333333333333333,0.5333333333333333,0.4,0.4,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.4333333333333333,0.4,0.5,0.5333333333333333,0.07453559924999298
ivy-2.0.csv recall,0.5333333333333333,0.4666666666666667,0.4,0.4,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.4,0.43333333333333335,0.4600000000000001,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.046666666666666655
ivy-2.0.csv recall,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.25,0.3,0.2777777777777778,0.3055555555555556,0.5555555555555556,0.10304020550550783
ivy-2.0.csv recall,0.5625,0.625,0.5625,0.375,0.3125,0.5625,0.5625,0.625,0.5625,0.625,0.3125,0.5625,0.5375,0.5625,0.59375,0.625,0.1015504800579495
ivy-2.0.csv recall,0.45,0.2,0.4,0.25,0.1,0.3,0.25,0.25,0.35,0.4,0.1,0.25,0.29500000000000004,0.275,0.375,0.45,0.10111874208078342
ivy-2.0.csv recall,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.7333333333333333,0.6,0.6,0.4666666666666667,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.5,0.56,0.5333333333333333,0.6,0.7333333333333333,0.08537498983243796
ivy-2.0.csv recall,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.5,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.25,0.3071428571428571,0.2857142857142857,0.3571428571428571,0.5,0.10618620533798934
ivy-2.0.csv recall,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.21428571428571427,0.29285714285714287,0.2857142857142857,0.3214285714285714,0.5714285714285714,0.11271238455756785
log4j-1.1.csv recall,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.9538461538461538,0.9230769230769231,1.0,1.0,0.03768445758127964
log4j-1.1.csv recall,0.7647058823529411,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7411764705882353,0.7352941176470589,0.7647058823529411,0.8235294117647058,0.03901911518065172
log4j-1.1.csv recall,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.63125,0.625,0.625,0.6875,0.01875
log4j-1.1.csv recall,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0
log4j-1.1.csv recall,0.5333333333333333,0.6,0.6,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.52,0.5333333333333333,0.5333333333333333,0.6,0.04988876515698587
log4j-1.1.csv recall,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.47777777777777775,0.4444444444444444,0.5,0.5555555555555556,0.05091750772173158
log4j-1.1.csv recall,0.75,0.5,0.625,0.5,0.625,0.625,0.625,0.75,0.75,0.625,0.5,0.625,0.6375,0.625,0.6875,0.75,0.08750000000000001
log4j-1.1.csv recall,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.75,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.5,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.7916666666666667,0.9166666666666666,0.11931517552730295
log4j-1.1.csv recall,0.5454545454545454,0.8181818181818182,0.9090909090909091,0.6363636363636364,0.9090909090909091,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.5454545454545454,0.6363636363636364,0.7636363636363637,0.8181818181818182,0.8636363636363636,0.9090909090909091,0.12984415324623363
log4j-1.1.csv recall,0.46153846153846156,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.6153846153846154,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.8461538461538461,0.5384615384615384,0.46153846153846156,0.5,0.6,0.5769230769230769,0.6538461538461539,0.8461538461538461,0.12779421327566268
