inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv balance,0.6867104349944388,0.6023187815078845,0.6023187815078845,0.6023187815078845,0.6023187815078845,0.6023187815078845,0.6023187815078845,0.6867104349944388,0.6023187815078845,0.6023187815078845,0.6023187815078845,0.6023187815078845,0.6191971122051954,0.6023187815078845,0.6023187815078845,0.6867104349944388,0.033756661394621724
ant-1.3.csv balance,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.7280358533897895,0.0
ant-1.3.csv balance,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.8520009062632807,0.0
ant-1.3.csv balance,0.7406923027443302,0.7406923027443302,0.790708380827043,0.7406923027443302,0.790708380827043,0.790708380827043,0.790708380827043,0.790708380827043,0.790708380827043,0.7406923027443302,0.7406923027443302,0.7406923027443302,0.7707019495939579,0.790708380827043,0.790708380827043,0.790708380827043,0.024502774047569505
ant-1.3.csv balance,0.6030187371566909,0.6318212994270913,0.6030187371566909,0.6030187371566909,0.6030187371566909,0.6318212994270913,0.6030187371566909,0.6030187371566909,0.6030187371566909,0.6030187371566909,0.6030187371566909,0.6030187371566909,0.608779249610771,0.6030187371566909,0.6030187371566909,0.6318212994270913,0.011521024908160182
ant-1.3.csv balance,0.5217110386194217,0.535260769031993,0.5217110386194217,0.5074056237964127,0.5217110386194217,0.5074056237964127,0.5217110386194217,0.5074056237964127,0.5074056237964127,0.5217110386194217,0.5074056237964127,0.5074056237964127,0.5173438457314752,0.5217110386194217,0.5217110386194217,0.535260769031993,0.009008057671227011
ant-1.3.csv balance,0.6785431892533769,0.6785431892533769,0.6785431892533769,0.6785431892533769,0.6604497714349169,0.6785431892533769,0.6785431892533769,0.6785431892533769,0.6604497714349169,0.6785431892533769,0.6604497714349169,0.6785431892533769,0.6749245056896849,0.6785431892533769,0.6785431892533769,0.6785431892533769,0.007237367127383988
ant-1.3.csv balance,0.7452273004534413,0.7452273004534413,0.7452273004534413,0.7343676856788026,0.7452273004534413,0.7452273004534413,0.7452273004534413,0.7452273004534413,0.7452273004534413,0.7452273004534413,0.7343676856788026,0.7452273004534413,0.7441413389759776,0.7452273004534413,0.7452273004534413,0.7452273004534413,0.003257884432391611
ant-1.3.csv balance,0.6796097949643203,0.6796097949643203,0.6796097949643203,0.6796097949643203,0.5827728976787626,0.6796097949643203,0.6796097949643203,0.6796097949643203,0.6796097949643203,0.6796097949643203,0.5827728976787626,0.6796097949643203,0.6699261052357646,0.6796097949643203,0.6796097949643203,0.6796097949643203,0.0290510691856673
ant-1.3.csv balance,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260307,0.7682109099260306,0.7682109099260307,0.7682109099260307,0.7682109099260307,1.1102230246251565e-16
ant-1.4.csv balance,0.7109663809816761,0.6359793727242209,0.6896847812890159,0.676472002442488,0.7250121889803393,0.7250121889803393,0.7109663809816761,0.676472002442488,0.6968246989565985,0.7109663809816761,0.6359793727242209,0.6830783918657519,0.695835637876052,0.7038955399691373,0.7109663809816761,0.7250121889803393,0.02600162483456937
